accelX,accelY,accelZ,gyroX,gyroY,gyroZ,label
-0.4875,-0.8873,0.0350,32.6538,-62.7441,117.7978,circle
-0.8121,-1.1322,-0.0778,37.0483,-31.4331,107.5439,circle
-0.0857,-0.9589,-0.4491,-40.4053,1.4038,-80.9936,circle
-0.0675,-0.7823,-0.1278,90.0879,-26.9775,-23.7427,circle
-0.3740,-0.8085,-0.1823,123.1689,-127.4414,-3.7231,circle
-0.6678,-1.3035,0.0320,17.8223,67.3828,53.7720,circle
-0.1313,-1.9579,0.0070,12.4512,126.8921,-4.7607,circle
-0.1313,-1.9579,0.0070,12.4512,126.8921,-4.7607,circle
1.0745,-0.4993,0.1938,-126.0376,87.7075,-132.3853,circle
0.9363,-0.1372,0.0392,-53.2227,-79.4067,-82.6416,circle
0.2139,-0.2906,-0.1172,21.6675,-116.8823,-45.6543,circle
-0.0967,-0.1337,-0.0024,99.4263,-115.7837,-4.1504,circle
-0.6376,-0.6759,0.2482,123.5351,-108.4595,81.2988,circle
-1.1149,-1.6053,0.0648,124.6338,-85.3882,84.2895,circle
-0.7662,-1.6447,-0.0857,47.0581,58.5937,-15.1978,circle
-0.2493,-1.4999,0.3036,15.8691,199.3408,-93.3227,circle
0.4061,-1.4325,0.4452,-69.5801,182.4341,-77.5146,circle
0.8839,-0.1356,0.1877,42.8467,-82.3975,-9.3994,circle
-0.1273,-0.5342,-0.0392,55.2978,-131.5918,89.4775,circle
-0.3773,-0.8135,0.0352,59.5703,-88.3179,76.7822,circle
-0.4861,-0.2140,0.2173,61.0352,-70.3125,83.3740,circle
-1.4185,-1.4807,0.2336,72.8149,-74.5239,187.5610,circle
-1.4185,-1.4807,0.2336,72.8149,-74.5239,187.5610,circle
-0.2694,-0.9001,0.7045,20.0195,216.8579,-137.8784,circle
-0.0164,-1.3563,0.3191,-31.3721,163.0249,-61.4624,circle
0.3405,-1.6173,0.3027,-39.0625,146.4233,-75.5615,circle
0.9044,-0.7445,0.3671,-117.5537,59.5093,-113.4033,circle
0.8066,-0.0253,0.4304,-24.2920,-60.4858,-114.1968,circle
-0.0095,-0.1172,-0.0327,14.4653,-167.4194,-4.9438,circle
-0.3782,-0.4082,-0.1794,79.2236,-144.4092,45.1660,circle
-0.6636,-0.7941,-0.0713,93.6890,-93.5059,75.2563,circle
-0.8982,-1.2035,-0.1069,80.9936,-44.3726,87.3413,circle
-0.2263,-0.6743,0.0424,-1.9531,-10.1318,-0.7324,circle
-0.4573,-0.6567,0.0284,-10.7422,-31.1890,25.3296,circle
-0.8865,-1.2412,-0.0243,17.5781,4.3945,24.7192,circle
-0.7030,-1.3506,0.1486,29.6020,138.6719,-94.3603,circle
0.1521,-1.7427,0.3785,6.8359,169.7388,-110.1074,circle
0.1521,-1.7427,0.3785,6.8359,169.7388,-110.1074,circle
1.0586,0.1494,0.7094,-44.3726,-15.8691,-180.2978,circle
0.2997,0.1764,0.1603,50.2319,-162.1094,-16.9678,circle
-0.0999,-0.1478,-0.0493,49.0723,-145.1416,71.5332,circle
-0.9771,-0.5856,0.1501,134.5825,-106.4453,169.0674,circle
-1.3291,-1.4614,0.3091,93.6890,-45.4712,156.4331,circle
-1.2189,-1.8046,0.0848,58.2886,-17.7002,42.7246,circle
-0.2035,-1.1787,0.6049,56.5186,166.9922,-143.8599,circle
0.0991,-1.4988,0.5103,-30.2734,142.7002,-95.4590,circle
0.4788,-1.3608,0.7974,-61.8286,111.1450,-156.1890,circle
0.2312,-0.8333,-0.2544,-13.3057,8.3618,-33.0811,circle
0.3613,-0.7467,-0.2209,4.5776,-4.3335,-26.3062,circle
0.1666,0.3508,0.0267,63.8428,-39.3066,11.4746,circle
-1.0375,-1.0159,0.1593,99.9756,-48.2178,203.9795,circle
-1.3838,-1.9534,0.1802,90.3931,-0.7324,145.5078,circle
-1.3838,-1.9534,0.1802,90.3931,-0.7324,145.5078,circle
0.1926,-1.7377,1.0107,-19.3481,233.9477,-114.7461,circle
0.8289,-1.0183,0.4937,-125.5493,97.2290,-134.7046,circle
0.9568,-0.1869,0.6626,-131.2866,53.6499,-147.3389,circle
0.2604,-0.0800,0.0110,-8.3008,-151.9775,-30.6396,circle
-0.1221,-0.0721,0.0796,45.4712,-169.0063,11.4136,circle
-0.8502,-0.4103,0.0203,101.3794,-176.0864,85.0830,circle
-1.7573,-1.3022,-0.4111,128.6621,-8.9722,117.6758,circle
-1.2520,-1.5100,0.0975,150.1465,114.5630,8.1177,circle
-0.5662,-1.4617,0.5579,84.4116,192.4438,-109.3750,circle
-0.0286,-0.9030,0.4641,18.3716,13.7329,-23.1934,shake
-0.0330,-0.8119,0.5153,68.2373,-7.4463,-20.7520,shake
0.0054,-0.7211,0.5815,53.5889,-71.6553,-59.3872,shake
0.3898,-0.7734,0.6573,-5.0659,-56.1523,-83.4961,shake
-0.1056,-1.3617,1.3413,-8.1177,36.9263,-25.3296,shake
-0.1056,-1.3617,1.3413,-8.1177,36.9263,-25.3296,shake
